City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Dhidhdhoo,MV,82.85,overcast clouds,6.88,73.1,Dhidhoo beach
5,Mogadishu,SO,77.25,light rain,2.04,45.34,Hotel Juba
15,Hithadhoo,MV,82.98,scattered clouds,-0.6,73.08,Scoop Guest House
18,Kuching,MY,78.8,few clouds,1.55,110.33,Hilton Kuching
19,Jamestown,US,78.01,few clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
24,Meulaboh,ID,76.05,overcast clouds,4.14,96.13,Kost Pria
32,Ribeira Grande,PT,75.2,scattered clouds,38.52,-28.7,Quinta da Meia Eira
39,Naze,JP,78.8,mist,28.37,129.48,奄美ポートタワーホテル
41,Saint-Georges,GD,86.0,few clouds,12.06,-61.75,Siesta Hotel
43,Ranong,TH,79.25,moderate rain,9.97,98.63,Tinidee Hotel@Ranong
45,Tecalitlan,MX,84.2,clear sky,19.47,-103.3,Hotel Plaza Victoria
51,Kapaa,US,78.8,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
53,Tautira,PF,77.0,few clouds,-17.73,-149.15,Pension Oaoa
54,Puerto Ayora,EC,78.8,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
57,Marawi,PH,75.0,light rain,8.0,124.29,Salihmaruhom
59,La Rioja,ES,75.2,clear sky,42.25,-2.5,Casa Concejos
60,Itoman,JP,84.2,shower rain,26.12,127.67,Southern Beach Hotel & Resort Okinawa
64,The Valley,AI,87.8,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
66,Touros,BR,82.4,scattered clouds,-5.2,-35.46,INN NEW HORIZON
69,Atuona,PF,79.43,broken clouds,-9.8,-139.03,Villa Enata
73,Guerrero Negro,MX,87.89,scattered clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
74,Qianan,CN,76.08,broken clouds,44.99,124.06,Qian'an Hotel
75,Faanui,PF,77.4,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
76,Cockburn Town,TC,84.2,broken clouds,21.46,-71.14,Osprey Beach Hotel
77,Goderich,CA,79.0,overcast clouds,43.75,-81.72,Harmony Inn
78,Harper,LR,75.76,overcast clouds,4.38,-7.72,Screensaver
79,Kourou,GF,86.0,light rain,5.16,-52.65,Lodge Takini 4
81,Arraial Do Cabo,BR,75.2,few clouds,-22.97,-42.03,Pousada Porto Praia
82,Bathsheba,BB,87.8,scattered clouds,13.22,-59.52,Atlantis Hotel
88,Mayo,US,86.0,broken clouds,38.89,-76.51,Resorts Resource Group International
89,Broome,US,86.0,overcast clouds,42.25,-75.83,Chenango Valley State Park
90,Guarapari,BR,75.99,light rain,-20.67,-40.5,Hotel Porto do Sol
103,Hambantota,LK,80.42,scattered clouds,6.12,81.12,Bungalow 63
110,Shelburne,CA,86.0,few clouds,44.08,-80.2,The Retreat at the Farm
111,Coahuayana,MX,84.2,clear sky,18.73,-103.68,Hotel Los Arcos
112,Wenling,CN,86.0,light rain,28.37,121.36,Hanting Express Wenling Wanchang North Road
115,Rajgurunagar,IN,75.34,broken clouds,18.87,73.9,Hotel Sitara SaiKrupa Lodging
118,Manono,CD,82.17,broken clouds,-7.3,27.42,Hotel hewa bora
120,Ohangaron,UZ,77.0,scattered clouds,40.91,69.64,"Hotel "" Ahangaran"""
122,West Bay,KY,90.0,few clouds,19.37,-81.42,Calypso Cove
124,Boa Vista,BR,86.0,broken clouds,2.82,-60.67,Aipana Plaza Hotel
125,Oistins,BB,87.8,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
129,Gat,IL,84.0,clear sky,31.61,34.76,רגע בנחת
130,Praia Da Vitoria,PT,78.8,few clouds,38.73,-27.07,Hotel Branco I
136,Dakar,SN,86.0,broken clouds,14.69,-17.44,Novotel Dakar
137,Impfondo,CG,82.54,overcast clouds,1.64,18.07,Préfecture de la Likouala
142,Lao Cai,VN,78.26,light rain,22.48,103.95,Legend Hotel
145,Victoria,HK,81.0,moderate rain,22.29,114.16,Mini Hotel Central
151,Yenisehir,TR,78.8,clear sky,40.26,29.65,Öncü Sosyal Tesisleri
154,Artyom,AZ,78.8,clear sky,40.47,50.33,Merdan Respect
155,Lorengau,PG,80.06,light rain,-2.02,147.27,Lorengau Harbourside Hotel
160,Ahwa,IN,76.01,overcast clouds,20.75,73.68,GREEN ORAA HOMESTAY AHWA
162,Truth Or Consequences,US,86.0,clear sky,33.13,-107.25,Charles Motel
165,Kirakira,SB,79.07,light rain,-10.45,161.92,SanBiz Lodge
166,Marsa Matruh,EG,80.6,clear sky,31.35,27.25,Beau Site
167,Basoko,CD,78.73,overcast clouds,1.24,23.62,Flat Hotel La Benediction
169,Iracoubo,GF,82.53,light rain,5.48,-53.2,Le Gite D Iracoubo
172,Lata,PT,75.0,clear sky,40.16,-8.33,Casa Maquia
177,Bosaso,SO,89.53,light rain,11.28,49.18,Red Sea Hotel
181,Hobyo,SO,77.9,few clouds,5.35,48.53,Osmani Hotel
188,Green River,US,84.2,clear sky,41.53,-109.47,Hampton Inn & Suites Green River
198,Yellowknife,CA,75.99,broken clouds,62.46,-114.35,The Explorer Hotel
201,Padang,ID,77.27,overcast clouds,-0.95,100.35,Mercure Padang
204,Huilong,CN,84.99,scattered clouds,31.81,121.66,Hilton Garden Inn Qidong
209,Bonthe,SL,76.68,light rain,7.53,-12.51,Bonthe Holiday Village
211,Sola,VU,76.96,broken clouds,-13.88,167.55,Leumerus Bungalows
212,Sibutad,PH,76.14,overcast clouds,8.61,123.48,"Harrycane's Residence - P1, Poblacion, Sibutad, Zamboanga del Norte"
213,Rio Cuarto,AR,75.2,broken clouds,-33.13,-64.35,Hotel Menossi
219,Makokou,GA,75.69,scattered clouds,0.57,12.86,WAMY RESIDENCE HOTEL
223,Bandarbeyla,SO,78.01,broken clouds,9.49,50.81,REER XOOSHLE GROUP
230,Kavieng,PG,80.02,light rain,-2.57,150.8,Nusa Island Retreat
231,Yinchuan,CN,81.03,clear sky,38.47,106.27,JJ Inns - Yinchuan New Moon Square Branch
234,Russellville,US,84.0,broken clouds,35.28,-93.13,Hampton Inn Russellville
236,Develi,TR,75.2,clear sky,38.39,35.49,Grand Erciyes Otel
240,Jimo,CN,82.99,mist,36.39,120.46,Thank Inn Chain Hotel Shandong Jimo Bus Station
241,Mao,ES,84.2,clear sky,39.89,4.27,ARTIEM Capri
242,Sorrento,IT,82.4,scattered clouds,40.63,14.37,Hilton Sorrento Palace
244,Honiara,SB,77.41,broken clouds,-9.43,159.95,Heritage Park Hotel
245,Haileybury,CA,78.8,broken clouds,47.45,-79.64,Haileybury Beach Motel
246,Dores Do Indaia,BR,77.07,scattered clouds,-19.46,-45.6,Hotel Central Dorense
250,Dawlatabad,AF,76.98,clear sky,36.41,64.91,WASIM ASGAR KHAN
251,Namatanai,PG,78.82,light rain,-3.67,152.43,Namatanai Hotel
253,Pindwara,IN,83.07,overcast clouds,24.8,73.07,Arbuda tour and travels
258,Georgetown,MY,82.4,few clouds,5.41,100.34,Cititel Penang
259,Sorong,ID,77.14,light rain,-0.88,131.25,The Waigo Hotel
264,Gigmoto,PH,79.5,light rain,13.78,124.39,Cj's Travellers Inn
266,Butaritari,KI,82.99,broken clouds,3.07,172.79,Isles Sunset Lodge
267,Bethel,US,89.01,scattered clouds,41.37,-73.41,Courtyard by Marriott Danbury
271,Camacari,BR,80.6,scattered clouds,-12.7,-38.32,Sítio Blasi
272,Areosa,PT,79.0,clear sky,41.72,-8.86,Hotel Flôr de Sal
273,Cam Ranh,VN,84.2,broken clouds,11.92,109.16,OYO 598 Peony Hotel
278,Niort,FR,78.01,broken clouds,46.33,-0.33,Hôtel Première Classe Niort La Crèche
279,Ponta Do Sol,PT,77.0,few clouds,32.67,-17.1,Hotel do Campo
281,Katsuura,JP,75.0,scattered clouds,35.13,140.3,Katsuura Hotel Mikazuki
283,Dhamnod,IN,85.91,scattered clouds,22.22,75.47,Hotel Royal Palace Dhamnod
284,Appenzell,CH,82.4,broken clouds,47.33,9.41,Café-Hotel Appenzell
288,San Pedro De Macoris,DO,90.0,broken clouds,18.46,-69.3,Apartahotel Guaraguao
296,Port Blair,IN,81.27,light rain,11.67,92.75,Fortune Resort Bay Island
297,Dingle,PH,76.98,overcast clouds,11.0,122.67,Camp Pasica
299,Samut Prakan,TH,84.99,few clouds,13.6,100.6,The Color Living Hotel
300,Tecpan,GT,78.8,broken clouds,14.76,-90.99,San Ricardo Restaurante y Hotel
301,Biloxi,US,90.0,few clouds,30.4,-88.89,Golden Nugget Biloxi Hotel & Casino
304,Puerto Madero,MX,89.6,broken clouds,14.72,-92.42,Hotel La Central
308,Sao Filipe,CV,77.34,broken clouds,14.9,-24.5,Tortuga B&B
310,Matara,LK,79.02,light rain,5.95,80.54,Amaloh Boutique Resort
311,Kahului,US,82.4,few clouds,20.89,-156.47,Maui Seaside Hotel
314,La Palma,US,80.6,clear sky,33.85,-118.05,La Quinta Inn & Suites by Wyndham Buena Park
318,Tuxpan,MX,84.2,clear sky,19.55,-103.4,Hotel y Restaurante Campestre La Cabaña
319,Carutapera,BR,85.12,overcast clouds,-1.2,-46.02,Lidera
321,Umm Lajj,SA,86.85,clear sky,25.02,37.27,Moon light Furnished Units
322,San Andres,CO,89.6,scattered clouds,12.58,-81.7,Hotel Arena Blanca
323,Miri,MY,77.0,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
324,Koumra,TD,76.21,overcast clouds,8.91,17.55,Motel Espoir
326,Kailua,US,80.6,few clouds,21.4,-157.74,Sheffield House Bed & Breakfast
328,Miles City,US,82.4,clear sky,46.41,-105.84,FairBridge Inn & Suites Miles City
329,San Vicente,AR,78.87,clear sky,-26.62,-54.13,Complejo Turístico Farelluk
330,Hami,CN,80.22,clear sky,42.8,93.45,Laoyutang Resort
332,Shenzhen,CN,81.0,moderate rain,22.55,114.07,Shun Hing Square
334,Puerto Ayacucho,VE,86.0,scattered clouds,5.66,-67.62,Posada Turistica Manapiare
335,Ishigaki,JP,84.22,clear sky,24.34,124.16,Hotel Peace Land Ishigakijima
336,Sibu,MY,78.8,scattered clouds,2.3,111.82,RH HOTEL (4 Star)
337,Cabedelo,BR,82.4,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
341,Iznik,TR,78.8,clear sky,40.43,29.72,Hotel Zeytin Bahcesi
348,Tagusao,PH,79.95,overcast clouds,9.19,117.81,"Shaman's Breath- Beach, Bed & Breakfast"
354,Niquelandia,BR,86.38,clear sky,-14.47,-48.46,Hotel Suinã
355,Santa Cruz,BO,86.0,few clouds,-17.8,-63.17,Hotel Cortez
358,Ewa Beach,US,80.6,clear sky,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
