City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Victoria,HK,2020-08-02 22:00:08,22.29,114.16,79.0,88,100,8.99,light rain
1,Mahebourg,MU,2020-08-02 22:03:47,-20.41,57.7,69.8,68,75,12.75,broken clouds
2,Walvis Bay,NA,2020-08-02 21:53:55,-22.96,14.51,73.4,16,0,11.41,clear sky
3,Bubaque,GW,2020-08-02 22:03:47,11.28,-15.83,80.98,84,99,11.63,overcast clouds
4,Paragominas,BR,2020-08-02 22:01:07,-2.97,-47.48,82.4,56,76,2.82,broken clouds
5,Ponta Do Sol,PT,2020-08-02 22:03:47,32.67,-17.1,71.6,68,20,17.22,few clouds
6,Vaini,TO,2020-08-02 22:03:48,-21.2,-175.2,73.4,88,75,10.29,broken clouds
7,Georgetown,MY,2020-08-02 22:01:45,5.41,100.34,82.4,78,20,5.82,few clouds
8,Gombe,NG,2020-08-02 22:03:48,10.29,11.17,73.11,91,99,7.58,overcast clouds
9,Hobart,AU,2020-08-02 22:03:48,-42.88,147.33,46.4,65,75,8.05,light rain
10,Hermanus,ZA,2020-08-02 22:01:19,-34.42,19.23,59.63,70,0,5.99,clear sky
11,Kodiak,US,2020-08-02 22:03:48,57.79,-152.41,59.0,77,90,6.93,overcast clouds
12,Mar Del Plata,AR,2020-08-02 22:03:48,-38.0,-57.56,53.6,71,97,8.05,overcast clouds
13,Codrington,AU,2020-08-02 21:53:56,-38.27,141.97,46.92,78,36,11.14,scattered clouds
14,Bengkulu,ID,2020-08-02 21:54:12,-3.8,102.27,74.61,92,43,3.38,scattered clouds
15,Hofn,IS,2020-08-02 21:59:37,64.25,-15.21,51.53,90,100,5.97,overcast clouds
16,Nuuk,GL,2020-08-02 22:03:49,64.18,-51.72,46.4,100,100,2.33,fog
17,Mataura,NZ,2020-08-02 22:03:49,-46.19,168.86,48.96,93,35,1.81,scattered clouds
18,Yellowknife,CA,2020-08-02 22:00:35,62.46,-114.35,80.6,54,75,17.22,broken clouds
19,Villa Maria,AR,2020-08-02 22:03:49,-32.41,-63.24,66.99,70,71,1.99,broken clouds
20,Tiksi,RU,2020-08-02 21:53:51,71.69,128.87,44.91,84,100,5.3,overcast clouds
21,Hilo,US,2020-08-02 22:03:50,19.73,-155.09,82.4,58,90,6.93,overcast clouds
22,Lavrentiya,RU,2020-08-02 22:03:50,65.58,-171.0,47.79,68,77,9.66,broken clouds
23,Luang Prabang,LA,2020-08-02 21:54:00,19.89,102.13,75.99,89,100,2.73,light rain
24,Genthin,DE,2020-08-02 22:03:50,52.4,12.17,64.0,80,99,1.01,overcast clouds
25,Dikson,RU,2020-08-02 22:03:50,73.51,80.55,52.5,81,63,8.95,broken clouds
26,Basoko,CD,2020-08-02 21:54:08,1.24,23.62,73.0,91,99,2.3,light rain
27,Pacific Grove,US,2020-08-02 22:03:50,36.62,-121.92,71.6,68,40,11.41,scattered clouds
28,Ushuaia,AR,2020-08-02 22:03:51,-54.8,-68.3,41.0,86,24,10.29,few clouds
29,Quisqueya,DO,2020-08-02 22:03:51,18.56,-69.41,87.8,70,40,6.93,scattered clouds
30,Bethel,US,2020-08-02 22:03:51,41.37,-73.41,84.2,79,40,11.41,scattered clouds
31,Acapulco,MX,2020-08-02 22:02:00,16.86,-99.89,89.6,70,20,6.93,few clouds
32,Broome,US,2020-08-02 21:53:58,42.25,-75.83,88.0,45,75,13.87,broken clouds
33,Okha,RU,2020-08-02 21:54:01,53.57,142.95,54.01,88,98,12.68,overcast clouds
34,Rikitea,PF,2020-08-02 22:03:51,-23.12,-134.97,72.91,79,76,13.27,broken clouds
35,Kapaa,US,2020-08-02 22:03:51,22.08,-159.32,84.2,66,40,12.75,scattered clouds
36,Marystown,CA,2020-08-02 21:54:07,47.17,-55.15,65.08,80,14,9.6,few clouds
37,Klaksvik,FO,2020-08-02 21:58:54,62.23,-6.59,50.0,100,99,12.75,drizzle
38,Gamba,GA,2020-08-02 22:03:52,-2.65,10.0,71.8,78,95,6.13,overcast clouds
39,Itacare,BR,2020-08-02 22:03:52,-14.28,-39.0,72.36,77,0,12.28,light rain
40,Emerald,AU,2020-08-02 22:03:52,-23.53,148.17,53.6,81,90,3.36,overcast clouds
41,Avarua,CK,2020-08-02 22:03:52,-21.21,-159.78,71.6,64,0,5.82,clear sky
42,Fiesole,IT,2020-08-02 22:03:52,43.8,11.29,80.01,69,0,3.36,clear sky
43,Tilichiki,RU,2020-08-02 22:03:52,60.47,166.1,56.41,69,91,0.74,overcast clouds
44,Port Alfred,ZA,2020-08-02 21:58:57,-33.59,26.89,72.5,22,0,13.51,clear sky
45,Torbay,CA,2020-08-02 22:03:53,47.67,-52.73,62.6,82,75,11.41,broken clouds
46,Sao Filipe,CV,2020-08-02 22:03:53,14.9,-24.5,78.42,87,71,7.0,broken clouds
47,Cabo San Lucas,MX,2020-08-02 22:03:53,22.89,-109.91,91.4,52,20,13.87,few clouds
48,Port Elizabeth,ZA,2020-08-02 22:03:53,-33.92,25.57,64.4,52,0,8.05,clear sky
49,Cherskiy,RU,2020-08-02 21:53:59,68.75,161.3,51.6,68,78,1.16,broken clouds
50,Puerto Ayora,EC,2020-08-02 22:03:53,-0.74,-90.35,75.2,73,75,18.34,broken clouds
51,Marsa Matruh,EG,2020-08-02 22:03:54,31.35,27.25,78.8,83,20,9.17,few clouds
52,Albany,US,2020-08-02 22:03:54,42.6,-73.97,87.01,65,47,9.8,light rain
53,Iqaluit,CA,2020-08-02 22:00:12,63.75,-68.51,51.8,81,75,3.36,broken clouds
54,Buin,CL,2020-08-02 22:03:54,-33.73,-70.75,68.0,28,11,3.36,few clouds
55,Bluff,NZ,2020-08-02 22:01:04,-46.6,168.33,47.21,92,68,6.38,broken clouds
56,Bredasdorp,ZA,2020-08-02 22:03:54,-34.53,20.04,44.6,93,0,2.24,clear sky
57,Comodoro Rivadavia,AR,2020-08-02 22:03:55,-45.87,-67.5,53.6,46,57,9.17,broken clouds
58,Tezu,IN,2020-08-02 22:03:55,27.92,96.17,79.2,73,15,2.28,few clouds
59,Punta Arenas,CL,2020-08-02 22:03:55,-53.15,-70.92,39.2,80,24,6.93,few clouds
60,Qaanaaq,GL,2020-08-02 22:03:55,77.48,-69.36,38.44,87,100,9.44,light rain
61,Tuktoyaktuk,CA,2020-08-02 22:03:55,69.45,-133.04,46.4,93,90,16.11,light rain
62,Kaitangata,NZ,2020-08-02 21:54:05,-46.28,169.85,50.0,84,100,3.0,overcast clouds
63,Beringovskiy,RU,2020-08-02 21:54:26,63.05,179.32,47.75,74,100,17.18,overcast clouds
64,Jalu,LY,2020-08-02 21:53:56,29.03,21.55,82.54,46,0,9.71,clear sky
65,Te Anau,NZ,2020-08-02 22:03:56,-45.42,167.72,47.37,87,40,1.05,scattered clouds
66,Sampit,ID,2020-08-02 22:03:56,-2.53,112.95,73.13,99,86,1.86,moderate rain
67,Clyde River,CA,2020-08-02 22:03:56,70.47,-68.59,53.6,76,90,9.17,light rain
68,Yar-Sale,RU,2020-08-02 22:03:56,66.83,70.83,62.62,61,99,14.41,overcast clouds
69,Krasnohrad,UA,2020-08-02 22:03:56,49.38,35.44,54.79,92,2,5.3,clear sky
70,Biak,ID,2020-08-02 22:03:57,-0.91,122.88,74.5,85,100,2.68,overcast clouds
71,Chinsali,ZM,2020-08-02 22:03:57,-10.54,32.08,54.84,66,51,7.0,broken clouds
72,Pevek,RU,2020-08-02 22:03:57,69.7,170.31,37.11,93,100,3.13,overcast clouds
73,Ancud,CL,2020-08-02 21:54:03,-41.87,-73.82,53.01,87,90,14.99,overcast clouds
74,Rawlins,US,2020-08-02 22:03:57,41.79,-107.24,87.8,14,20,6.93,few clouds
75,Airai,TL,2020-08-02 21:54:01,-8.93,125.41,52.0,92,55,2.59,broken clouds
76,Tura,IN,2020-08-02 22:02:09,25.52,90.22,77.56,83,39,1.9,scattered clouds
77,Doha,QA,2020-08-02 22:01:23,25.29,51.53,96.01,75,0,4.7,clear sky
78,Karaton,ID,2020-08-02 22:03:58,-6.34,106.1,77.0,83,40,5.82,haze
79,Garowe,SO,2020-08-02 22:03:58,8.41,48.48,79.14,44,3,16.13,clear sky
80,Izhmorskiy,RU,2020-08-02 22:03:58,56.19,86.64,55.65,94,0,3.85,clear sky
81,Cayenne,GF,2020-08-02 21:54:26,4.93,-52.33,84.2,70,45,2.24,scattered clouds
82,Kalmunai,LK,2020-08-02 22:01:21,7.42,81.82,80.46,68,100,6.24,overcast clouds
83,Jamestown,US,2020-08-02 22:03:58,42.1,-79.24,73.0,83,90,17.22,light rain
84,Mayo,US,2020-08-02 22:03:59,38.89,-76.51,93.2,52,20,10.29,light rain
85,Willmar,US,2020-08-02 22:00:46,45.12,-95.04,75.2,41,40,10.29,scattered clouds
86,Kovdor,RU,2020-08-02 21:59:08,67.57,30.48,43.21,92,49,0.51,scattered clouds
87,Severo-Kurilsk,RU,2020-08-02 21:59:06,50.68,156.12,53.51,90,100,9.55,light rain
88,Souillac,MU,2020-08-02 22:03:59,-20.52,57.52,69.8,68,75,12.75,broken clouds
89,Kruisfontein,ZA,2020-08-02 22:03:59,-34.0,24.73,57.69,40,0,3.4,clear sky
90,Caravelas,BR,2020-08-02 22:03:59,-17.71,-39.25,70.81,68,11,10.83,few clouds
91,Zhigansk,RU,2020-08-02 22:04:00,66.77,123.37,56.64,62,100,13.49,overcast clouds
92,Kaseda,JP,2020-08-02 22:04:00,31.42,130.32,69.8,100,75,3.36,fog
93,Puri,IN,2020-08-02 22:04:00,19.8,85.85,80.6,94,75,5.82,haze
94,Khatanga,RU,2020-08-02 22:04:00,71.97,102.5,63.27,71,50,5.97,scattered clouds
95,Faanui,PF,2020-08-02 22:04:00,-16.48,-151.75,78.46,79,100,10.67,overcast clouds
96,Tasiilaq,GL,2020-08-02 22:04:00,65.61,-37.64,48.2,61,9,16.11,clear sky
97,Busselton,AU,2020-08-02 22:04:01,-33.65,115.33,43.0,98,20,4.29,few clouds
