City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2020-08-01 16:06:52,-23.12,-134.97,73.24,81,100,5.14
1,Lovozero,RU,2020-08-01 16:06:52,68.0,35.01,52.66,81,93,11.92
2,Hilo,US,2020-08-01 16:06:52,19.73,-155.09,71.6,83,90,6.93
3,Vila,PT,2020-08-01 16:06:52,42.03,-8.16,84.99,45,3,5.01
4,Tiksi,RU,2020-08-01 16:06:53,71.69,128.87,39.29,90,4,2.3
5,Punta Arenas,CL,2020-08-01 16:06:53,-53.15,-70.92,39.0,93,75,4.7
6,Busselton,AU,2020-08-01 16:06:53,-33.65,115.33,46.99,78,78,3.09
7,Tasiilaq,GL,2020-08-01 16:06:53,65.61,-37.64,53.6,55,20,5.82
8,Gravdal,NO,2020-08-01 16:06:53,68.12,13.5,59.58,78,24,8.61
9,Ballina,AU,2020-08-01 16:06:53,-28.87,153.57,51.01,100,13,1.12
10,Flinders,AU,2020-08-01 16:06:53,-34.58,150.86,50.0,84,0,1.01
11,Bathsheba,BB,2020-08-01 16:06:53,13.22,-59.52,87.8,66,40,11.41
12,Geraldton,AU,2020-08-01 16:06:54,-28.77,114.6,50.0,87,94,10.29
13,Jamestown,US,2020-08-01 16:06:54,42.1,-79.24,77.0,69,1,9.17
14,Krasnaya Poyma,RU,2020-08-01 16:06:54,55.0,39.08,63.43,81,56,3.56
15,Hobart,AU,2020-08-01 16:06:08,-42.88,147.33,55.4,54,40,8.05
16,Tuktoyaktuk,CA,2020-08-01 16:06:54,69.45,-133.04,53.6,100,90,18.34
17,Albany,US,2020-08-01 16:06:54,42.6,-73.97,84.99,44,19,3.69
18,Morros,BR,2020-08-01 16:06:54,-9.45,-46.3,88.25,30,0,11.45
19,Cape Town,ZA,2020-08-01 16:06:54,-33.93,18.42,68.0,49,0,4.7
20,Sibolga,ID,2020-08-01 16:06:55,1.74,98.78,76.68,81,68,3.62
21,Ramanuj Ganj,IN,2020-08-01 16:06:55,23.8,83.7,80.2,81,43,3.51
22,Umm Kaddadah,SD,2020-08-01 16:06:55,13.6,26.69,73.17,80,100,7.58
23,Amahai,ID,2020-08-01 16:06:55,-3.33,128.92,80.01,96,91,9.28
24,Lebu,CL,2020-08-01 16:06:55,-37.62,-73.65,52.12,95,100,9.78
25,Ribeira Grande,PT,2020-08-01 16:06:55,38.52,-28.7,77.0,65,20,6.93
26,Bethel,US,2020-08-01 16:06:55,41.37,-73.41,84.99,54,1,1.14
27,Walvis Bay,NA,2020-08-01 16:06:56,-22.96,14.51,96.8,8,0,6.93
28,Port Alfred,ZA,2020-08-01 16:06:56,-33.59,26.89,59.63,74,0,2.95
